iter	MultiClass
626	0.08813563539
627	0.08786431634
628	0.08767241619
629	0.08740779462
630	0.08722564838
631	0.08697722854
632	0.08672078615
633	0.08662137059
634	0.08651040705
635	0.08636522658
636	0.08613384619
637	0.08603060607
638	0.08588094111
639	0.0856132228
640	0.08530327725
641	0.08492703795
642	0.08474299818
643	0.08441256658
644	0.08418945617
645	0.08400703354
646	0.08381404698
647	0.08364081544
648	0.08349688337
649	0.08319437083
650	0.08309559991
651	0.08289922727
652	0.0827425277
653	0.08255545124
654	0.08234815832
655	0.08218726532
656	0.08190473428
657	0.08180502301
658	0.08175340126
659	0.08151865374
660	0.08134798278
661	0.08107965125
662	0.0809373829
663	0.08087304215
664	0.08063219539
665	0.08035780396
666	0.08024413095
667	0.08009750591
668	0.08002150406
669	0.07981869554
670	0.07962242542
671	0.07951677936
672	0.07931745248
673	0.07911368153
674	0.07895605161
675	0.07883739343
676	0.07867296875
677	0.07851876503
678	0.07841266041
679	0.07813670528
680	0.07794912166
681	0.07764630648
682	0.07753186504
683	0.07732618237
684	0.07713705539
685	0.07696809519
686	0.07680117543
687	0.07660792025
688	0.07642363234
689	0.07635071636
690	0.07610536749
691	0.07594135752
692	0.0757730294
693	0.07557758849
694	0.07539566768
695	0.07527968166
696	0.07503753858
697	0.07490033862
698	0.07460570611
699	0.07447870986
700	0.0743418838
701	0.07408102601
702	0.07394872495
703	0.07377117559
704	0.07357350861
705	0.07340089367
706	0.07316762993
707	0.07305408195
708	0.07287894021
709	0.0727959403
710	0.07258634082
711	0.07242742247
712	0.07228842506
713	0.07207687217
714	0.07187150284
715	0.0716426038
716	0.07151208112
717	0.07139335572
718	0.07122166636
719	0.07104527166
720	0.07084345143
721	0.07057438165
722	0.07045684785
723	0.07035516761
724	0.0700434622
725	0.06986040092
726	0.06966117751
727	0.06946580054
728	0.06938514949
729	0.06922370347
730	0.06896019725
731	0.06882926422
732	0.06871131466
733	0.06862282459
734	0.0684829369
735	0.06840323477
736	0.06835887328
737	0.06829242124
738	0.06818755051
739	0.06803464908
740	0.06793074869
741	0.06788397625
742	0.06769847839
743	0.06764063853
744	0.06750813922
745	0.0672729021
746	0.06714597617
747	0.06704025435
748	0.06689429325
749	0.06661910613
750	0.06649406103
751	0.06634412967
752	0.06622702335
753	0.0661153723
754	0.06599767323
755	0.06586842721
756	0.06574826883
757	0.06561008819
758	0.0654675424
759	0.06534138235
760	0.06519912697
761	0.06508095428
762	0.0649405985
763	0.06484651139
764	0.06471101182
765	0.06461327879
766	0.06447225837
767	0.06424273984
768	0.06407381835
769	0.0639789308
770	0.063921973
771	0.06381477057
772	0.06367775734
773	0.0635244375
774	0.0633116408
775	0.06317775811
776	0.06303234711
777	0.06290785082
778	0.06280295863
779	0.0626461695
780	0.06255956927
781	0.06249914892
782	0.06237678176
783	0.06227565143
784	0.06216736568
785	0.06210052656
786	0.06194192607
787	0.0618210506
788	0.06176363215
789	0.06162101702
790	0.06149451565
791	0.06135631511
792	0.06109841534
793	0.06095510968
794	0.06084842843
795	0.0606723189
796	0.06059548638
797	0.06052890594
798	0.06039577169
799	0.06025168208
800	0.06015508522
801	0.06002019738
802	0.05990827618
803	0.05980151007
804	0.05965691252
805	0.05959508678
806	0.05951146576
807	0.05941244316
808	0.05929820108
809	0.05919942788
810	0.05904950447
811	0.05894691905
812	0.05884280244
813	0.05874922726
814	0.05864156228
815	0.058541483
816	0.05841187577
817	0.05829806242
818	0.05821264121
819	0.05810826634
820	0.05804966926
821	0.05792543228
822	0.05785219105
823	0.057805021
824	0.05774090407
825	0.05767943207
826	0.05751441792
827	0.05731846621
828	0.05726671247
829	0.05716606864
830	0.05707466698
831	0.05699060729
832	0.05686148958
833	0.05671291059
834	0.05662931108
835	0.05656095024
836	0.05650759532
837	0.05643413235
838	0.05635801442
839	0.05620510863
840	0.05599612013
841	0.05588634722
842	0.05570126132
843	0.05554896963
844	0.05548624084
845	0.05536550503
846	0.05525947995
847	0.05517684672
848	0.05504017803
849	0.05481324274
850	0.05470474644
851	0.05461256357
852	0.05455289787
853	0.05443601875
854	0.05432334389
855	0.05421039119
856	0.05412023456
857	0.05392662918
858	0.05384042883
859	0.05374925079
860	0.0536249626
861	0.0535029484
862	0.05336967649
863	0.05333361729
864	0.053196684
865	0.05304103026
866	0.05293742232
867	0.05280238696
868	0.05268156984
869	0.05262436531
870	0.05254927105
871	0.05245579039
872	0.05235622494
873	0.05228762258
874	0.05220605162
875	0.05210096719
876	0.05190848454
877	0.05183653533
878	0.05168122702
879	0.05155397556
880	0.05150691272
881	0.05137898179
882	0.05124263069
883	0.05119284542
884	0.05104415922
885	0.05098678627
886	0.05087850427
887	0.05081278738
888	0.05074839165
889	0.05067456533
890	0.05060400074
891	0.0505060547
892	0.05040146209
893	0.05026545778
894	0.05010533075
895	0.0499790878
896	0.04987422704
897	0.04974810072
898	0.04960449065
899	0.04954262686
900	0.0494560503
901	0.0493961764
902	0.04935447383
903	0.04923266091
904	0.04909633933
905	0.04898320744
906	0.04881761768
907	0.04875208941
908	0.04865088789
909	0.04853901047
910	0.0483875399
911	0.04829928449
912	0.04822123708
913	0.04817905305
914	0.04808875975
915	0.04799505516
916	0.04792888104
917	0.04786651974
918	0.04774922451
919	0.04768046507
920	0.04759161553
921	0.04752557389
922	0.04739571572
923	0.04732975508
924	0.04726273071
925	0.04719258119
926	0.04708700436
927	0.04695692378
928	0.04692086932
929	0.04685694464
930	0.04674767648
931	0.04662751707
932	0.04657311591
933	0.04647146223
934	0.04644677014
935	0.04629513606
936	0.04623472104
937	0.04615164908
938	0.04603861088
939	0.0459068185
940	0.04578338811
941	0.04570418898
942	0.04562574149
943	0.04559417967
944	0.04554541458
945	0.04546489385
946	0.04542940932
947	0.04535317613
948	0.04525443043
949	0.04517477484
950	0.04511146627
951	0.0450473171
952	0.04497895931
953	0.04491978743
954	0.04481370422
955	0.04474393422
956	0.04468145479
957	0.04459489467
958	0.04453576189
959	0.04446099257
960	0.04440782617
961	0.0442849637
962	0.0441853775
963	0.04410884483
964	0.04400405276
965	0.04391878468
966	0.04387400034
967	0.04383050146
968	0.04373961814
969	0.04368881128
970	0.04366338617
971	0.04359544601
972	0.04346686658
973	0.04338890655
974	0.04335042516
975	0.0432971622
976	0.04322561552
977	0.0430814548
978	0.04304874242
979	0.04301474923
980	0.0428844868
981	0.04278478694
982	0.04269234736
983	0.04259149927
984	0.04252687302
985	0.04247476336
986	0.04241692985
987	0.04233832326
988	0.04227130258
989	0.04224523693
990	0.04216827486
991	0.04207407681
992	0.04199469897
993	0.04191484143
994	0.04183842539
995	0.04175599371
996	0.04170118385
997	0.04163297749
998	0.04158060856
999	0.04152816153
